Global Volcanism Program - Volcanoes of the World 5.2.1,,,List of Volcanoes of the World for VAAC Use,,Downloaded on 16 Jul 2024 at 09:13 AM,,,,,,,,,,
VolcanoNumber,VolcanoNumber_Old,VolcanoName,State,VolcanicSubregion,SummitElevM,LatitudeNS,LatitudeDegrees,LatitudeMinutes,LatitudeSeconds,LongitudeEW,LongitudeDegrees,LongitudeMinutes,LongitudeSeconds,LatitudeDecimal,LongitudeDecimal
222054,0202-054,KOROSI,Kenya,Africa (eastern),1446,N,0,46,0,E,36,7,0,0.77,36.12
222055,0202-055,OL KOKWE,Kenya,Africa (eastern),1130,N,0,37,0,E,36,4,30,0.62,36.075
222056,0202-056,NYAMBENI HILLS,Kenya,Africa (eastern),750,N,0,14,0,E,37,52,0,0.23,37.87
222060,0202-06=,MENENGAI,Kenya,Africa (eastern),2278,S,0,12,0,E,36,4,0,-0.2,36.07
222070,0202-07=,HOMA MOUNTAIN,Kenya,Africa (eastern),1751,S,0,23,0,E,34,30,0,-0.38,34.5
222071,0202-071,ELMENTEITA BADLANDS,Kenya,Africa (eastern),2126,S,0,32,45,E,36,14,55,-0.546,36.249
222080,0202-08=,OL DOINYO EBURRU,Kenya,Africa (eastern),2856,S,0,39,0,E,36,13,0,-0.65,36.22
222090,0202-09=,OLKARIA,Kenya,Africa (eastern),2434,S,0,54,15,E,36,17,30,-0.904,36.292
222100,0202-10=,LONGONOT,Kenya,Africa (eastern),2776,S,0,54,52,E,36,26,47,-0.914,36.446
222110,0202-11=,SUSWA,Kenya,Africa (eastern),2356,S,1,9,4,E,36,21,24,-1.151,36.357
222120,0202-12=,OL DOINYO LENGAI,Tanzania,Africa (eastern),2962,S,2,45,49,E,35,54,51,-2.764,35.914
222130,0202-13=,CHYULU HILLS,Kenya,Africa (eastern),2188,S,2,41,0,E,37,53,0,-2.68,37.88
222160,0202-16=,MERU,Tanzania,Africa (eastern),4550,S,3,14,40,E,36,45,0,-3.244,36.75
222161,0202-161,IGWISI HILLS,Tanzania,Africa (eastern),1146,S,4,53,22,E,31,55,58,-4.889,31.933
222164,0202-164,NGOZI,Tanzania,Africa (eastern),2614,S,9,0,13,E,33,33,7,-9.0036,33.552
222166,0202-166,RUNGWE,Tanzania,Africa (eastern),2953,S,9,8,6,E,33,40,6,-9.135,33.668
222170,0202-17=,KYEJO,Tanzania,Africa (eastern),2176,S,9,13,45,E,33,47,33,-9.229,33.792
223001,0203-001,FORT PORTAL,Uganda,Africa (central),1615,N,0,42,0,E,30,15,0,0.7,30.25
223002,0203-002,KYATWA,Uganda,Africa (central),1430,N,0,27,0,E,30,15,0,0.45,30.25
223003,0203-003,KATWE-KIKORONGO,Uganda,Africa (central),1067,S,0,5,0,E,29,55,0,-0.08,29.92
223004,0203-004,BUNYARUGURU,Uganda,Africa (central),1554,S,0,12,0,E,30,5,0,-0.2,30.08
223005,0203-005,KATUNGA,Uganda,Africa (central),1707,S,0,28,17,E,30,11,27,-0.471,30.191
223020,0203-02=,NYAMULAGIRA,DR Congo,Africa (central),3058,S,1,24,30,E,29,12,0,-1.408,29.2
